party_size,private_hand_size,total_dealt,total,method,samples,seed,small_shared_hand_cards,small_shared_hand_exact_ability_probability,private_any_character_probability,private_any_ci95_low,private_any_ci95_high,private_all_characters_probability,private_all_ci95_low,private_all_ci95_high,private_mean_capable_characters,equal_budget_pool_cards,equal_budget_pool_ability_probability,pool_ci95_low,pool_ci95_high
4,9,36,9,monte_carlo,10000,20261324,9,0.8620314038684829,1,0.9996159875222334,0.9999999999999999,0.5323,0.5225099363030052,0.542065256490931,3.4538,36,1,0.9996159875222334,0.9999999999999999
4,9,36,10,monte_carlo,10000,20261324,9,0.9086047054104952,1,0.9996159875222334,0.9999999999999999,0.6735,0.6642438189558636,0.6826229287143514,3.6422,36,1,0.9996159875222334,0.9999999999999999
4,9,36,11,monte_carlo,10000,20261324,9,0.9508797628882517,1,0.9996159875222334,0.9999999999999999,0.8031,0.7951901732956856,0.8107770383402924,3.7939,36,1,0.9996159875222334,0.9999999999999999
4,9,36,12,monte_carlo,10000,20261324,9,0.9596480115629051,1,0.9996159875222334,0.9999999999999999,0.8472,0.8400147901702497,0.854118551565189,3.8422,36,1,0.9996159875222334,0.9999999999999999
4,9,36,13,monte_carlo,10000,20261324,9,0.9631280772337528,1,0.9996159875222334,0.9999999999999999,0.8617,0.8547947703185246,0.8683274350550592,3.8567,36,1,0.9996159875222334,0.9999999999999999
4,9,36,14,monte_carlo,10000,20261324,9,0.969549039413544,1,0.9996159875222334,0.9999999999999999,0.8796,0.873075385298369,0.8858330724285106,3.8762,36,1,0.9996159875222334,0.9999999999999999
4,9,36,15,monte_carlo,10000,20261324,9,0.970700164503288,1,0.9996159875222334,0.9999999999999999,0.8816,0.8751205903097985,0.8877863313671701,3.8787,36,1,0.9996159875222334,0.9999999999999999
4,9,36,16,monte_carlo,10000,20261324,9,0.9763634395750628,1,0.9996159875222334,0.9999999999999999,0.9029,0.8969408931741754,0.9085496695712403,3.9019,36,1,0.9996159875222334,0.9999999999999999
4,9,36,17,monte_carlo,10000,20261324,9,0.9750773240472321,1,0.9996159875222334,0.9999999999999999,0.8995,0.8934526776562345,0.9052404963740298,3.898,36,1,0.9996159875222334,0.9999999999999999
4,9,36,18,monte_carlo,10000,20261324,9,0.9801033226989585,1,0.9996159875222334,0.9999999999999999,0.9248,0.919466499819046,0.9298072431798434,3.9239,36,1,0.9996159875222334,0.9999999999999999
4,9,36,19,monte_carlo,10000,20261324,9,0.9771643973374398,1,0.9996159875222334,0.9999999999999999,0.91,0.9042322598033204,0.9154528499649109,3.9094,36,1,0.9996159875222334,0.9999999999999999
4,9,36,20,monte_carlo,10000,20261324,9,0.9999587363716438,1,0.9996159875222334,0.9999999999999999,0.9997,0.9991182482825978,0.9998979696471224,3.9997,36,1,0.9996159875222334,0.9999999999999999
4,9,36,21,monte_carlo,10000,20261324,9,0.9762099466621423,1,0.9996159875222334,0.9999999999999999,0.9016,0.8956069118986554,0.9072846492792024,3.8991,36,1,0.9996159875222334,0.9999999999999999
4,9,36,22,monte_carlo,10000,20261324,9,0.9793131187254276,1,0.9996159875222334,0.9999999999999999,0.92,0.9145199431631448,0.9251574863555314,3.9188,36,1,0.9996159875222334,0.9999999999999999
4,9,36,23,monte_carlo,10000,20261324,9,0.9765830567103898,1,0.9996159875222334,0.9999999999999999,0.9134,0.9077275610241651,0.9187549374592174,3.9117,36,1,0.9996159875222334,0.9999999999999999
4,9,36,24,monte_carlo,10000,20261324,9,0.9797945353335243,1,0.9996159875222334,0.9999999999999999,0.9192,0.913696078688033,0.9243819652506076,3.9181,36,1,0.9996159875222334,0.9999999999999999
4,9,36,25,monte_carlo,10000,20261324,9,0.9758769282086472,1,0.9996159875222334,0.9999999999999999,0.9025,0.8965304037386093,0.9081604662167886,3.9008,36,1,0.9996159875222334,0.9999999999999999
4,9,36,26,monte_carlo,10000,20261324,9,0.9790905040978503,1,0.9996159875222334,0.9999999999999999,0.912,0.9062880190558067,0.9173955546625137,3.9108,36,1,0.9996159875222334,0.9999999999999999
4,9,36,27,monte_carlo,10000,20261324,9,0.9750310298071087,1,0.9996159875222334,0.9999999999999999,0.9023,0.8963251702761289,0.9079658532842602,3.9003,36,1,0.9996159875222334,0.9999999999999999
